syn599	#e51616	1
syn416	#1be516	3
syn910	#e51616	1
syn362	#1be516	3
syn667	#1be516	3
syn789	#e1e516	2
syn299	#1be516	3
syn526	#e1e516	2


syn199	#1682e5	4
syn422	#e1e516	2
syn658	#1682e5	4
syn80	#1be516	3
syn499	#e1e516	2

syn671	#e1e516	2
syn26	#e1e516	2
syn501	#1be516	3
syn648	#1be516	3
syn234	#e1e516	2
syn649	#e1e516	2
syn148	#e1e516	2
syn662	#e1e516	2
syn391	#e1e516	2
syn660	#e1e516	2
syn661	#e1e516	2
syn873	#1be516	3
syn365	#e1e516	2
syn363	#e1e516	2
syn668	#e1e516	2
syn430	#e51616	1
syn447	#e51616	1
syn353	#7e16e5	6
syn512	#1be516	3
syn536	#1be516	3
syn424	#7e16e5	6
syn379	#e51616	1
syn406	#1be516	3
syn3	#1be516	3
syn859	#1be516	3
syn46	#1be516	3
syn452	#1be516	3
syn6	#1be516	3
syn822	#e51616	1
syn604	#e51616	1
syn518	#e51616	1
syn388	#1be516	3
syn108	#e1e516	2
syn830	#e51616	1
syn795	#e51616	1
syn778	#e51616	1
syn817	#1be516	3
syn872	#1be516	3
syn645	#e1e516	2
syn82	#e51616	1
syn530	#e51616	1
syn359	#1be516	3
syn797	#e51616	1
syn774	#e51616	1
syn852	#e51616	1
syn439	#e1e516	2
syn592	#1be516	3
syn543	#e1e516	2
syn511	#e51616	1
syn481	#e51616	1
syn663	#e51616	1
syn538	#e1e516	2
syn688	#1be516	3
syn602	#e51616	1
syn141	#1be516	3
syn248	#e1e516	2
syn529	#1be516	3
syn61	#1be516	3
syn282	#1be516	3
syn528	#1be516	3
syn615	#e1e516	2
syn163	#1be516	3
syn222	#1be516	3
syn405	#1be516	3
syn288	#1be516	3
syn76	#1be516	3
syn287	#1be516	3
syn64	#1be516	3
syn332	#1be516	3
syn164	#7e16e5	6
syn908	#e51616	1
syn791	#1be516	3
syn106	#e1e516	2
syn300	#1be516	3
syn775	#e1e516	2
syn346	#e51616	1
syn314	#e51616	1
syn116	#e51616	1
syn875	#e51616	1
syn264	#e51616	1
syn906	#1be516	3
syn94	#e51616	1
syn539	#1be516	3
syn227	#1be516	3
syn835	#e1e516	2
syn169	#1be516	3
syn804	#e1e516	2
syn435	#e1e516	2
syn541	#e1e516	2
syn623	#e1e516	2
syn877	#e51616	1
syn286	#e51616	1
